country,country_code,medal_type,date_of_medal,gender,sport,event
United States,USA,Bronze,8/11/2024,Male,Water Polo,Men
China,CHN,Gold,8/11/2024,Female,Weightlifting,Women's +81kg
Korea,KOR,Silver,8/11/2024,Female,Weightlifting,Women's +81kg
Great Britain,GBR,Bronze,8/11/2024,Female,Weightlifting,Women's +81kg
Japan,JPN,Gold,8/11/2024,Male,Wrestling,Men's Freestyle 65kg
IR Iran,IRI,Silver,8/11/2024,Male,Wrestling,Men's Freestyle 65kg
Puerto Rico,PUR,Bronze,8/11/2024,Male,Wrestling,Men's Freestyle 65kg
Albania,ALB,Bronze,8/11/2024,Male,Wrestling,Men's Freestyle 65kg
Bahrain,BRN,Gold,8/11/2024,Male,Wrestling,Men's Freestyle 97kg
Georgia,GEO,Silver,8/11/2024,Male,Wrestling,Men's Freestyle 97kg
Azerbaijan,AZE,Bronze,8/11/2024,Male,Wrestling,Men's Freestyle 97kg
IR Iran,IRI,Bronze,8/11/2024,Male,Wrestling,Men's Freestyle 97kg
Japan,JPN,Gold,8/11/2024,Female,Wrestling,Women's Freestyle 76kg
United States,USA,Silver,8/11/2024,Female,Wrestling,Women's Freestyle 76kg
Cuba,CUB,Bronze,8/11/2024,Female,Wrestling,Women's Freestyle 76kg
Colombia,COL,Bronze,8/11/2024,Female,Wrestling,Women's Freestyle 76kg
China,CHN,Gold,8/10/2024,Female,Rhythmic Gymnastics,Group All-Around
Israel,ISR,Silver,8/10/2024,Female,Rhythmic Gymnastics,Group All-Around
Italy,ITA,Bronze,8/10/2024,Female,Rhythmic Gymnastics,Group All-Around
Germany,GER,Gold,8/9/2024,Female,Rhythmic Gymnastics,Individual All-Around
Bulgaria,BUL,Silver,8/9/2024,Female,Rhythmic Gymnastics,Individual All-Around
Italy,ITA,Bronze,8/9/2024,Female,Rhythmic Gymnastics,Individual All-Around
Belgium,BEL,Gold,8/9/2024,Female,Athletics,Women's Heptathlon
Great Britain,GBR,Silver,8/9/2024,Female,Athletics,Women's Heptathlon
Belgium,BEL,Bronze,8/9/2024,Female,Athletics,Women's Heptathlon
